ID da Pergunta;	Quantidade de Views;	Quantidade de Respostas;	Score;	Titulo da Questao;	ID da Resposta Aceita;	Tags;	Link da Questao;
59569248;	216;	0;	3;	Using EfCore lazy-loading proxies with blazor;	null;	c#/blazor/ef-core-3.0/ef-core-3.1/;	https://stackoverflow.com/questions/59569248/using-efcore-lazy-loading-proxies-with-blazor;
59389253;	69;	3;	0;	How to update more complex objects in EFCore?;	59389603;	c#/entity-framework/asp.net-core/entity-framework-core/;	https://stackoverflow.com/questions/59389253/how-to-update-more-complex-objects-in-efcore;
59371852;	33;	0;	0;	When efcore creates new instances of dbsets;	null;	c#/entity-frameworkef-core-3.0/;	https://stackoverflow.com/questions/59371852/when-efcore-creates-new-instances-of-dbsets;
59339164;	88;	0;	0;	EFCore 3.0 SQlite Select-Query does not return values;	null;	c#/sqlite/blazor/ef-core-3.0/;	https://stackoverflow.com/questions/59339164/efcore-3-0-sqlite-select-query-does-not-return-values;
59330744;	363;	2;	1;	What type of collection should be returned from EFCore 3.1 in WebAPI?;	null;	c#/asp.net-core/entity-framework-core/asp.net-core-webapi/c#-8.0/;	https://stackoverflow.com/questions/59330744/what-type-of-collection-should-be-returned-from-efcore-3-1-in-webapi;
59331835;	201;	1;	0;	EFCore 3 GroupBy+ToDictionary raises client side GroupBy is not supported;	59331836;	c#/linq/entity-framework-core/ef-core-3.0/;	https://stackoverflow.com/questions/59331835/efcore-3-groupbytodictionary-raises-client-side-groupby-is-not-supported;
59269836;	92;	1;	1;	Error when doing mulitple ProjectTo layers with EfCore;	59270816;	c#/asp.net-core/automapper/ef-core-3.0/;	https://stackoverflow.com/questions/59269836/error-when-doing-mulitple-projectto-layers-with-efcore;
59259630;	60;	0;	0;	Why EFcore PropertyEntry &#39IsModified&#39 useless;	null;	c#/asp.net/.net/orm/ef-core-2.1/;	https://stackoverflow.com/questions/59259630/why-efcore-propertyentry-ismodified-useless;
59194668;	44;	0;	0;	Mapping &quotTable valued function&quot with EFCore?;	null;	c#/sql-server/linq/user-defined-functions/ef-core-2.2/;	https://stackoverflow.com/questions/59194668/mapping-table-valued-function-with-efcore;
59210735;	184;	1;	1;	Resolve DbContext by Interface in EFCore 3;	59216216;	c#/dependency-injection/.net-core/dbcontext/ef-core-3.0/;	https://stackoverflow.com/questions/59210735/resolve-dbcontext-by-interface-in-efcore-3;
59165185;	61;	1;	1;	Azure AD - Tracking a User object with EFCore;	59190429;	c#/azure-active-directoryblazor-server-side/;	https://stackoverflow.com/questions/59165185/azure-ad-tracking-a-user-object-with-efcore;
59112360;	46;	1;	1;	Invalid Column name generated by EFCore on a one-to-one relationship;	null;	c#/entity-framework-core/one-to-one/ef-core-3.0/;	https://stackoverflow.com/questions/59112360/invalid-column-name-generated-by-efcore-on-a-one-to-one-relationship;
59091141;	70;	1;	0;	AutoMapper.Collections, EFCore - using short living DbContext;	59100344;	c#/entity-framework-core/automapper/dbcontext/;	https://stackoverflow.com/questions/59091141/automapper-collections-efcore-using-short-living-dbcontext;
38081910;	1468;	3;	2;	Cant Disable Lazy Loading and Proxy Creation on DbContext EFCore;	null;	c#/asp.net/entity-framework/asp.net-core-mvc/entity-framework-core/;	https://stackoverflow.com/questions/38081910/cant-disable-lazy-loading-and-proxy-creation-on-dbcontext-efcore;
58980939;	578;	1;	0;	Can EFCore Scaffold-DbContext generate custom Model names?;	58981917;	c#/entity-framework-core/scaffolding/ef-database-first/ef-core-3.0/;	https://stackoverflow.com/questions/58980939/can-efcore-scaffold-dbcontext-generate-custom-model-names;
43518867;	1373;	1;	1;	How to inject ILogger into EFCore DbContext;	43519078;	c#/dependency-injectionentity-framework-core/;	https://stackoverflow.com/questions/43518867/how-to-inject-ilogger-into-efcore-dbcontext;
58733586;	36;	1;	0;	EFCore 2 Fluent API to build custom mapping rule;	58971849;	c#/domain-driven-designef-core-2.0/;	https://stackoverflow.com/questions/58733586/efcore-2-fluent-api-to-build-custom-mapping-rule;
58854804;	152;	1;	0;	Xunit Testing EFcore Repositories InMemory DB;	null;	c#/.net/entity-framework/.net-core/xunit.net/;	https://stackoverflow.com/questions/58854804/xunit-testing-efcore-repositories-inmemory-db;
58428402;	39;	1;	0;	Can&#39t use dbfirst to generate db models by efcore(3.0) in MacOS 10.15;	null;	c#/visual-studio-code/macos-catalina/entity-framework-core-3.0/;	https://stackoverflow.com/questions/58428402/cant-use-dbfirst-to-generate-db-models-by-efcore3-0-in-macos-10-15;
58815514;	44;	0;	0;	Creating index on inherited class in EFCore says no property exists;	null;	c#/sql-server/entity-framework/inheritance/entity-framework-core/;	https://stackoverflow.com/questions/58815514/creating-index-on-inherited-class-in-efcore-says-no-property-exists;
58790320;	70;	0;	0;	EFCore SUM and ROUND in select;	null;	c#/ef-core-2.2ef-core-3.0/;	https://stackoverflow.com/questions/58790320/efcore-sum-and-round-in-select;
58469476;	181;	1;	0;	How to use EF .SqlQuery expression in EFCore?;	58469590;	c#/.net/entity-framework/.net-core/entity-framework-core/;	https://stackoverflow.com/questions/58469476/how-to-use-ef-sqlquery-expression-in-efcore;
58330020;	179;	0;	0;	Override SaveChanges() not called in ASP .NET/EFCore 3.0;	null;	c#/ef-core-3.0/;	https://stackoverflow.com/questions/58330020/override-savechanges-not-called-in-asp-net-efcore-3-0;
58297793;	20;	0;	0;	EFCore: What to do when fk constraint failed during SaveChanges() because of non-existant fk object;	null;	c#/entity-framework/sqlite/entity-framework-core/;	https://stackoverflow.com/questions/58297793/efcore-what-to-do-when-fk-constraint-failed-during-savechanges-because-of-non;
58200835;	45;	1;	0;	Equivalent of Modifying EFCore a Migration;	58213150;	c#/sql-server/asp.net-core/entity-framework-core/ef-migrations/;	https://stackoverflow.com/questions/58200835/equivalent-of-modifying-efcore-a-migration;
58207017;	133;	1;	0;	EFCore Linq Cannot perform an aggregate function on an expression containing an aggregate or a subquery;	58207904;	c#/linqef-core-2.1/;	https://stackoverflow.com/questions/58207017/efcore-linq-cannot-perform-an-aggregate-function-on-an-expression-containing-an;
58192432;	52;	1;	0;	How to manage EFCore DbContext life in ASP.NET Core web API?;	null;	c#/asp.net-mvc/asp.net-core/asp.net-core-mvc/entity-framework-core/;	https://stackoverflow.com/questions/58192432/how-to-manage-efcore-dbcontext-life-in-asp-net-core-web-api;
54963663;	380;	1;	4;	DDD and references between aggregates in EFCore and C#;	null;	c#/entity-framework-coredomain-driven-design/;	https://stackoverflow.com/questions/54963663/ddd-and-references-between-aggregates-in-efcore-and-c;
58020156;	309;	1;	0;	EFCore Postgres timestamp loses tick precision;	58020707;	c#/postgresql/.net-core/ef-core-2.2/;	https://stackoverflow.com/questions/58020156/efcore-postgres-timestamp-loses-tick-precision;
57956030;	296;	0;	0;	How to do select and update in transaction with EFCore?;	null;	c#/asp.net-coreentity-framework-core/;	https://stackoverflow.com/questions/57956030/how-to-do-select-and-update-in-transaction-with-efcore;
57911773;	141;	0;	0;	how to change int to nullable in efcore migration with oracle database;	null;	c#/oracle/ef-migrations/nullable/ef-core-2.2/;	https://stackoverflow.com/questions/57911773/how-to-change-int-to-nullable-in-efcore-migration-with-oracle-database;
57812651;	195;	1;	0;	How to write Inline If Statement(SQL IIF) in EFCore Select?;	57813398;	c#/sql/linq/entity-framework-core/;	https://stackoverflow.com/questions/57812651/how-to-write-inline-if-statementsql-iif-in-efcore-select;
57707468;	385;	1;	2;	LINQ Query Exception error Invalid column name &#39courseId1&#39 EFCore;	57709337;	c#/entity-framework/linq/entity-framework-core/;	https://stackoverflow.com/questions/57707468/linq-query-exception-error-invalid-column-name-courseid1-efcore;
57660905;	44;	2;	1;	How to get a child nested list within a record using EFCore Linq;	57661070;	c#/linqef-core-2.2/;	https://stackoverflow.com/questions/57660905/how-to-get-a-child-nested-list-within-a-record-using-efcore-linq;
57599325;	39;	0;	0;	Include all parents of a self referencing table in EfCore;	null;	c#/entity-framework.net-core/;	https://stackoverflow.com/questions/57599325/include-all-parents-of-a-self-referencing-table-in-efcore;
57436701;	215;	0;	2;	How can I load an assembly in PowerShell 5.1 that references EFCore?;	null;	c#/powershell/entity-framework-core/assembly-binding-redirect/;	https://stackoverflow.com/questions/57436701/how-can-i-load-an-assembly-in-powershell-5-1-that-references-efcore;
57428787;	117;	1;	2;	ts_vector_update_trigger with JSONB column in postgresql / npgsql + EFCore;	null;	c#/postgresql/entity-framework-core/npgsql/jsonb/;	https://stackoverflow.com/questions/57428787/ts-vector-update-trigger-with-jsonb-column-in-postgresql-npgsql-efcore;
57330189;	219;	4;	3;	Getting 2 Top 5 within a single LINQ query in EFCore;	57333141;	c#/entity-framework/linq/ef-core-2.1/;	https://stackoverflow.com/questions/57330189/getting-2-top-5-within-a-single-linq-query-in-efcore;
57224349;	813;	1;	-1;	Async/Await Multiple CountAsync Database Calls EFCore;	null;	c#/asp.net-core/async-await/entity-framework-core/entity-framework-core-2.2/;	https://stackoverflow.com/questions/57224349/async-await-multiple-countasync-database-calls-efcore;
57196334;	25;	0;	0;	Import a huge amount of data with efcore, without bulkinsert/update;	null;	c#/import/.net-core/ef-core-2.1/;	https://stackoverflow.com/questions/57196334/import-a-huge-amount-of-data-with-efcore-without-bulkinsert-update;
56831253;	74;	2;	0;	What is the correct datetime-cast for a QueryType in EFCore?;	56831323;	c#/linq/datetime/view/ef-core-2.1/;	https://stackoverflow.com/questions/56831253/what-is-the-correct-datetime-cast-for-a-querytype-in-efcore;
57060295;	60;	1;	0;	Eager Loading with LinqKit and EFCore;	null;	c#/async-await/entity-framework-core/linqkit/;	https://stackoverflow.com/questions/57060295/eager-loading-with-linqkit-and-efcore;
56983288;	537;	1;	1;	Generate auto-increment int column in MariaDB with EFCore;	57000064;	c#/.net-core/entity-framework-core/mariadb/auto-increment/;	https://stackoverflow.com/questions/56983288/generate-auto-increment-int-column-in-mariadb-with-efcore;
56736652;	74;	0;	0;	EFCore unable to remove many-to-many relation in memory sqlite, but works in production sql;	null;	c#/unit-testing/many-to-many/in-memory-database/ef-core-2.1/;	https://stackoverflow.com/questions/56736652/efcore-unable-to-remove-many-to-many-relation-in-memory-sqlite-but-works-in-pro;
61088234;	40;	1;	0;	WPF MaterialDesignInXamlToolkit Dialog expand to full width;	null;	c#/wpf/xaml/reactiveui/material-design-in-xaml/;	https://stackoverflow.com/questions/61088234/wpf-materialdesigninxamltoolkit-dialog-expand-to-full-width;
52185387;	810;	2;	0;	Work around for MaterialDesignInXamlToolkit TimePicker SelectedTimeChanged event;	52199058;	c#/wpf/material-design/wpf-controls/wpftoolkit/;	https://stackoverflow.com/questions/52185387/work-around-for-materialdesigninxamltoolkit-timepicker-selectedtimechanged-event;
51554107;	478;	1;	3;	MaterialDesignInXamlToolkit ElementHost DatePicker Selected/Current Date not displayed properly;	51613947;	c#/wpf/xaml/material-design/;	https://stackoverflow.com/questions/51554107/materialdesigninxamltoolkit-elementhost-datepicker-selected-current-date-not-dis;
49647927;	71;	0;	1;	How to make rounded corner buttons in MaterialDesignInXamlToolkit?;	null;	c#/wpf/;	https://stackoverflow.com/questions/49647927/how-to-make-rounded-corner-buttons-in-materialdesigninxamltoolkit;
40101956;	5445;	1;	3;	How make MaterialDesignInXamlToolkit Custom Color Theme?;	40117848;	c#/xamlmaterial-design-in-xaml/;	https://stackoverflow.com/questions/40101956/how-make-materialdesigninxamltoolkit-custom-color-theme;
39535533;	1182;	1;	0;	MaterialDesignInXamlToolkit Dialog Boxes do not closed by pressing the ENTER key;	39536528;	c#/wpf/xaml/dialog/material-design-in-xaml/;	https://stackoverflow.com/questions/39535533/materialdesigninxamltoolkit-dialog-boxes-do-not-closed-by-pressing-the-enter-key;
38688606;	1317;	1;	0;	Getting InvalidOperationException while using my own DialogHost from MaterialDesignInXamlToolkit;	38737622;	c#/xaml/exception/event-handling/material-design-in-xaml/;	https://stackoverflow.com/questions/38688606/getting-invalidoperationexception-while-using-my-own-dialoghost-from-materialdes;
38332834;	777;	0;	2;	MaterialDesignInXamlToolkit Dialog losing focus;	null;	c#/wpf/xaml/material-design-in-xaml/;	https://stackoverflow.com/questions/38332834/materialdesigninxamltoolkit-dialog-losing-focus;
31588778;	582;	0;	1;	Implement docking on wpf MaterialDesignInXamlToolkit and Dragablz;	null;	c#/.net/wpf/xaml/mvvm/;	https://stackoverflow.com/questions/31588778/implement-docking-on-wpf-materialdesigninxamltoolkit-and-dragablz;
61766971;	36;	0;	0;	How to stop Mono &quotOmnisharp&quot, the C# extension in Visual Studio code from burning up my CPU at 170%+;	null;	c#/visual-studio-codeomnisharp/;	https://stackoverflow.com/questions/61766971/how-to-stop-mono-omnisharp-the-c-extension-in-visual-studio-code-from-burnin;
37738106;	124348;	7;	252;	.NET Core vs Mono;	null;	c#/.net/mono/.net-core/;	https://stackoverflow.com/questions/37738106/net-core-vs-mono;
61720840;	42;	0;	0;	&quot/usr/lib/mono/msbuild/15.0/bin/Roslyn/Microsoft.CSharp.Core.targets&quot was not found in monoDevelop IDE on kali linux 2020;	null;	c#/linux/msbuild/mono/monodevelop/;	https://stackoverflow.com/questions/61720840/usr-lib-mono-msbuild-15-0-bin-roslyn-microsoft-csharp-core-targets-was-not-fo;
61700273;	22;	1;	0;	C# Mono Compile with Libraries folder?;	null;	c#/mono/;	https://stackoverflow.com/questions/61700273/c-mono-compile-with-libraries-folder;
61642321;	12;	0;	0;	mkbundled application error when mono is installed;	null;	c#/linux/mono/mkbundle/;	https://stackoverflow.com/questions/61642321/mkbundled-application-error-when-mono-is-installed;
61625216;	14;	0;	-1;	mono windows forms&#39 not opening in visual studio on macOS;	null;	c#/visual-studio/winforms/mono/macos-catalina/;	https://stackoverflow.com/questions/61625216/mono-windows-forms-not-opening-in-visual-studio-on-macos;
61278260;	192;	0;	-2;	Replace WPF System.Windows.Input.Keyboard class (from PresentationCore.dll) to be usable with Mono;	null;	c#/.net/linux/wpf/mono/;	https://stackoverflow.com/questions/61278260/replace-wpf-system-windows-input-keyboard-class-from-presentationcore-dll-to-b;
61529172;	44;	0;	0;	Can I install Mono on my Mac Catalina 10.15.4 safely and configure Mono 32 if needed?;	null;	c#/macos/visual-studio/winforms/mono/;	https://stackoverflow.com/questions/61529172/can-i-install-mono-on-my-mac-catalina-10-15-4-safely-and-configure-mono-32-if-ne;
61438447;	47;	0;	0;	Rewrite code using extern `kernel32.dll` functions in pure C# to work with Mono;	null;	c#/monokernel32/;	https://stackoverflow.com/questions/61438447/rewrite-code-using-extern-kernel32-dll-functions-in-pure-c-to-work-with-mono;
61427616;	38;	1;	1;	UWP MediaCapture - Record wav audio with sample rate 16000, 16 bit, mono;	null;	c#/audio/uwp/mediarecorder/;	https://stackoverflow.com/questions/61427616/uwp-mediacapture-record-wav-audio-with-sample-rate-16000-16-bit-mono;
17512428;	1187;	1;	1;	What encoding does Mono use when marshalling strings in P/Invoke?;	17520371;	c#/monopinvoke/;	https://stackoverflow.com/questions/17512428/what-encoding-does-mono-use-when-marshalling-strings-in-p-invoke;
61405038;	32;	1;	0;	Using extern functions depending on kernel32.dll with Mono;	null;	c#/.net/dll/mono/;	https://stackoverflow.com/questions/61405038/using-extern-functions-depending-on-kernel32-dll-with-mono;
61403901;	20;	0;	0;	Linux Mono Framework installation without apt-get;	null;	c#/linuxmono/;	https://stackoverflow.com/questions/61403901/linux-mono-framework-installation-without-apt-get;
37776866;	862;	4;	1;	Json.Net (8.0) Error creating StringEnumConverter on Mono 4.5 Mac;	null;	c#/json/macos/mono/json.net/;	https://stackoverflow.com/questions/37776866/json-net-8-0-error-creating-stringenumconverter-on-mono-4-5-mac;
61383431;	31;	0;	0;	Do you know how i can return object via mono webassembly;	null;	javascript/c#/mono/webassembly/;	https://stackoverflow.com/questions/61383431/do-you-know-how-i-can-return-object-via-mono-webassembly;
61142029;	23;	0;	0;	Build mono for detecting runtime memory leakcage (in sources) for Linux;	null;	c#/mono/;	https://stackoverflow.com/questions/61142029/build-mono-for-detecting-runtime-memory-leakcage-in-sources-for-linux;
61133257;	35;	1;	-2;	mono does not port macOS cocoa 100% correctly;	61133343;	c#/macos/xamarin/xamarin.mac/;	https://stackoverflow.com/questions/61133257/mono-does-not-port-macos-cocoa-100-correctly;
61106892;	29;	1;	0;	Are we allowed to publish Xamarin iOS apps with the Mono Interpreter enabled?;	61107515;	c#/xamarin/xamarin.forms/xamarin.ios/mono/;	https://stackoverflow.com/questions/61106892/are-we-allowed-to-publish-xamarin-ios-apps-with-the-mono-interpreter-enabled;
61019190;	28;	0;	0;	Mono c# Getting the class;	null;	c#/c++mono/;	https://stackoverflow.com/questions/61019190/mono-c-getting-the-class;
60976892;	45;	1;	-1;	Find the Mono version on Visual Studio;	null;	c#/visual-studio/xamarin/xamarin.ios/mono/;	https://stackoverflow.com/questions/60976892/find-the-mono-version-on-visual-studio;
60950710;	25;	1;	1;	Is there a way that I can compile a Mono project to run natively on linux?;	60956684;	c#/.netmono/;	https://stackoverflow.com/questions/60950710/is-there-a-way-that-i-can-compile-a-mono-project-to-run-natively-on-linux;
60947826;	10;	0;	0;	Getting SIGSEGV while running a .NET application on Linux using mono;	null;	c#/.net/linux/segmentation-fault/mono/;	https://stackoverflow.com/questions/60947826/getting-sigsegv-while-running-a-net-application-on-linux-using-mono;
60895305;	11;	0;	0;	Problem with disposing Graphics in C# running on mono;	null;	c#/image/graphics/memory-leaks/bitmap/;	https://stackoverflow.com/questions/60895305/problem-with-disposing-graphics-in-c-running-on-mono;
60745179;	51;	0;	0;	How do I access the Mono Webkit WebView html (in string)?;	null;	c#/html/webview/mono/webkit/;	https://stackoverflow.com/questions/60745179/how-do-i-access-the-mono-webkit-webview-html-in-string;
574381;	2749;	3;	3;	MVC Web Framework and Mono;	574395;	c#/.netmono/;	https://stackoverflow.com/questions/574381/mvc-web-framework-and-mono;
60728111;	50;	0;	0;	How to fix the error &quotlibgluezilla not found&quot when using WebBrowser on Mono (Linux);	null;	c#/linux/winforms/mono/gtk/;	https://stackoverflow.com/questions/60728111/how-to-fix-the-error-libgluezilla-not-found-when-using-webbrowser-on-mono-lin;
60594660;	29;	0;	0;	System.Windows.Automation is missing in Mono package;	null;	c#/.net/windows/dll/mono/;	https://stackoverflow.com/questions/60594660/system-windows-automation-is-missing-in-mono-package;
35548683;	811;	3;	4;	Trouble compiling VS2015 application with mono/xbuild;	null;	linux/monoc#/;	https://stackoverflow.com/questions/35548683/trouble-compiling-vs2015-application-with-mono-xbuild;
49242075;	9827;	2;	15;	Mono Bug : Magic number is wrong: 542;	null;	c#/mono/;	https://stackoverflow.com/questions/49242075/mono-bug-magic-number-is-wrong-542;
60525256;	202;	1;	-1;	how to update mono version from Visual Studio 2019 for mac;	null;	c#/visual-studio/.net-core/mono/visual-studio-mac/;	https://stackoverflow.com/questions/60525256/how-to-update-mono-version-from-visual-studio-2019-for-mac;
60464326;	56;	1;	-1;	Can&#39t Compile MojoPortal on Mono: /usr/lib/mono/msbuild/15.0/bin/Microsoft.Common.CurrentVersion.targets(5,5): Error MSB3073;	60493907;	c#/linux/sqlite/mono/mojoportal/;	https://stackoverflow.com/questions/60464326/cant-compile-mojoportal-on-mono-usr-lib-mono-msbuild-15-0-bin-microsoft-commo;
60488798;	40;	0;	0;	Mono: Can no longer set X509Certificate2 Private key using settor;	null;	c#/.net/mono/x509certificate2/;	https://stackoverflow.com/questions/60488798/mono-can-no-longer-set-x509certificate2-private-key-using-settor;
60466096;	42;	0;	2;	How to get bitmap data of the chart object from System.Windows.Forms.DataVisualization.Charting for GTK# and mono?;	null;	c#/.net/mono/data-visualization/gtk#/;	https://stackoverflow.com/questions/60466096/how-to-get-bitmap-data-of-the-chart-object-from-system-windows-forms-datavisuali;
60434849;	30;	1;	0;	Mono csharp AOT Optimizations;	null;	c#/c++/mono/compiler-optimization/;	https://stackoverflow.com/questions/60434849/mono-csharp-aot-optimizations;
60408454;	18;	0;	0;	Force Kill LWP threads in Mono C#?;	null;	c#/linuxmono/;	https://stackoverflow.com/questions/60408454/force-kill-lwp-threads-in-mono-c;
27740792;	568;	2;	2;	C# Mono Linux - Grab contents of global clipboard;	27741086;	c#/gtkclipboard/;	https://stackoverflow.com/questions/27740792/c-mono-linux-grab-contents-of-global-clipboard;
60357767;	65;	1;	0;	How to programmatically execute commands in mac terminal using C#/Mono;	null;	c#/mono/;	https://stackoverflow.com/questions/60357767/how-to-programmatically-execute-commands-in-mac-terminal-using-c-mono;
46461869;	225;	1;	2;	Passing byte array from c++ to c# (mono);	60340443;	c#/c++/arrays/mono/buffer/;	https://stackoverflow.com/questions/46461869/passing-byte-array-from-c-to-c-mono;
60278576;	28;	0;	0;	IdentityServer3 call of Autofac `RegisterApiControllers()` fails on Mono 6.4+ with `TypeLoadException`;	null;	c#/mono/autofac/identityserver3/;	https://stackoverflow.com/questions/60278576/identityserver3-call-of-autofac-registerapicontrollers-fails-on-mono-6-4-wi;
60284777;	12;	0;	0;	How to add environment variable to evulator mono sharp;	null;	c#/reflection/mono/environment-variables/evaluator/;	https://stackoverflow.com/questions/60284777/how-to-add-environment-variable-to-evulator-mono-sharp;
50900086;	105;	0;	2;	Trapping SIGINT in mono program in docker;	null;	c#/dockermono/;	https://stackoverflow.com/questions/50900086/trapping-sigint-in-mono-program-in-docker;
60239407;	36;	0;	0;	How to enable network tracing in .NET on mono?;	null;	c#/.net/linux/mono/;	https://stackoverflow.com/questions/60239407/how-to-enable-network-tracing-in-net-on-mono;
37292416;	1160;	2;	3;	Mono can&#39t save user settings;	37351698;	c#/monosettings/;	https://stackoverflow.com/questions/37292416/mono-cant-save-user-settings;
46323730;	1033;	2;	-2;	Mono: how to run a bash command on a new console/terminal window?;	46325103;	c#/linux/bash/terminal/mono/;	https://stackoverflow.com/questions/46323730/mono-how-to-run-a-bash-command-on-a-new-console-terminal-window;
9422031;	2177;	1;	5;	GUI for Mono port of .NET 4 application using WPF;	9422640;	c#/.net/user-interface/mono/porting/;	https://stackoverflow.com/questions/9422031/gui-for-mono-port-of-net-4-application-using-wpf;
41861772;	1123;	2;	4;	SQLite on Mono/Ubuntu: DllNotFoundException SQLite.Interop.dll;	null;	c#/.net/sqlite/dll/mono/;	https://stackoverflow.com/questions/41861772/sqlite-on-mono-ubuntu-dllnotfoundexception-sqlite-interop-dll;
59641880;	24;	0;	1;	Remote debugging Mono application from Visual Studio 2015/2017;	null;	c#/mono/;	https://stackoverflow.com/questions/59641880/remote-debugging-mono-application-from-visual-studio-2015-2017;
59209700;	340;	2;	2;	Compiling C# code at runtime under mono fails when referencing Newtonsoft.Json.dll;	59600806;	c#/json.netmono/;	https://stackoverflow.com/questions/59209700/compiling-c-code-at-runtime-under-mono-fails-when-referencing-newtonsoft-json-d;
59544681;	261;	2;	0;	Godot How to get Colliders Parent Name (C# godot mono v3.1.2 stable);	59546413;	c#/mono/collision/godot/collider/;	https://stackoverflow.com/questions/59544681/godot-how-to-get-colliders-parent-name-c-godot-mono-v3-1-2-stable;
59515904;	16;	0;	0;	Mono (Linux) can&#39t load System.IdentityModel.Tokens.SecurityTokenHandlerCollectionManager;	null;	c#/monomonodevelop/;	https://stackoverflow.com/questions/59515904/mono-linux-cant-load-system-identitymodel-tokens-securitytokenhandlercollecti;
58632114;	261;	1;	0;	Installing mono/fiddler on mac;	null;	c#/macos/mono/fiddler/;	https://stackoverflow.com/questions/58632114/installing-mono-fiddler-on-mac;
59444487;	26;	0;	0;	How to debug c# project on Mono using comand line using Windows os;	null;	c#/mono/command/line/exe/;	https://stackoverflow.com/questions/59444487/how-to-debug-c-project-on-mono-using-comand-line-using-windows-os;
59383426;	27;	1;	1;	Does Mono support StringCollections in user settings?;	59383584;	c#/monosettings/;	https://stackoverflow.com/questions/59383426/does-mono-support-stringcollections-in-user-settings;
59382811;	35;	1;	2;	Mono cannot access file even though linux shell can without root;	59383340;	c#/linux/raspberry-pi/gpio/raspberry-pi-zero/;	https://stackoverflow.com/questions/59382811/mono-cannot-access-file-even-though-linux-shell-can-without-root;
59340856;	131;	1;	0;	No mono behaviour scripts in file. names DO match;	59341062;	c#/unity3d/;	https://stackoverflow.com/questions/59340856/no-mono-behaviour-scripts-in-file-names-do-match;
59284167;	54;	0;	0;	Convert AAC to WAV Mono channel from a URL to get Byte[];	null;	c#/.netnaudio/;	https://stackoverflow.com/questions/59284167/convert-aac-to-wav-mono-channel-from-a-url-to-get-byte;
12075062;	4073;	2;	5;	Saving each WAV channel as a mono-channel WAV file using Naudio;	12149659;	c#/audio/naudio/waveform/wave/;	https://stackoverflow.com/questions/12075062/saving-each-wav-channel-as-a-mono-channel-wav-file-using-naudio;
51579610;	478;	2;	2;	Mono (Linux, C#): DLL in same folder can not be found (System.DllNotFoundException);	null;	c#/linux/mono/raspberry-pi3/dllimport/;	https://stackoverflow.com/questions/51579610/mono-linux-c-dll-in-same-folder-can-not-be-found-system-dllnotfoundexcepti;
6437809;	20929;	3;	17;	How can I deserialize a JSON string in Mono?;	6437832;	c#/.net/json/mono/;	https://stackoverflow.com/questions/6437809/how-can-i-deserialize-a-json-string-in-mono;
58300715;	460;	0;	2;	How to solve: &#39Mono version mismatch&#39;	null;	c#/xamarin.forms/mono/visual-studio-2019/;	https://stackoverflow.com/questions/58300715/how-to-solve-mono-version-mismatch;
59053376;	18;	0;	0;	Why I get the error: no sqlite3_key in sqlite3.dl in Mono?;	null;	c#/sqlitemono/;	https://stackoverflow.com/questions/59053376/why-i-get-the-error-no-sqlite3-key-in-sqlite3-dl-in-mono;
58994800;	35;	0;	1;	Mono Compiler crashed when compiling the file size of about 1.8MB;	null;	c#/.net/mono/monodevelop/;	https://stackoverflow.com/questions/58994800/mono-compiler-crashed-when-compiling-the-file-size-of-about-1-8mb;
58884759;	128;	1;	0;	Crash on Android arising from mono for using ParallelTask and ConcurrentStack usage;	58979216;	c#/xamarin.forms/xamarin.android/mono/;	https://stackoverflow.com/questions/58884759/crash-on-android-arising-from-mono-for-using-paralleltask-and-concurrentstack-us;
58974371;	40;	0;	0;	Undefined symbols when trying to use native C++ .so in Mono Pinvoke;	null;	c#/c++/gcc/mono/pinvoke/;	https://stackoverflow.com/questions/58974371/undefined-symbols-when-trying-to-use-native-c-so-in-mono-pinvoke;
53818790;	112;	0;	2;	C# Google OAUTH2 using OWIN on Mono results in &quotSystem.Web.HttpException (0x80004005): headers have already been sent&quot;	null;	c#/authentication/model-view-controller/mono/owin/;	https://stackoverflow.com/questions/53818790/c-google-oauth2-using-owin-on-mono-results-in-system-web-httpexception-0x8000;
58908312;	20;	0;	1;	Beaglebone black, DLP2000evm cape problem with mono(c#);	null;	c#/mono/debian/beagleboneblack/;	https://stackoverflow.com/questions/58908312/beaglebone-black-dlp2000evm-cape-problem-with-monoc;
56470375;	118;	1;	2;	How to create &quotDictionary&quot in Mono Cecil;	58863439;	c#/mono.cecil/;	https://stackoverflow.com/questions/56470375/how-to-create-dictionary-in-mono-cecil;
58710647;	36;	0;	0;	Unable to decode certificate Mono 6.4.0;	null;	c#/mono/raspbian/x509certificate/;	https://stackoverflow.com/questions/58710647/unable-to-decode-certificate-mono-6-4-0;
58689596;	202;	1;	0;	Access item inside Unity sharedassets.assets file programmatically in C# Mono;	null;	c#/unity3dcities-skylines-api/;	https://stackoverflow.com/questions/58689596/access-item-inside-unity-sharedassets-assets-file-programmatically-in-c-mono;
58652280;	63;	1;	0;	Mono C# compiler interprets perfectly valid expression as an erroneous type argument;	null;	c#/syntaxcompiler-errors/;	https://stackoverflow.com/questions/58652280/mono-c-compiler-interprets-perfectly-valid-expression-as-an-erroneous-type-argu;
16134124;	620;	1;	1;	How do i get information about the window that has focus on Linux using Mono C#;	16136019;	c#/linuxmono/;	https://stackoverflow.com/questions/16134124/how-do-i-get-information-about-the-window-that-has-focus-on-linux-using-mono-c;
